match_id,visit_odds_2,odds_company,odds_type_2,odds_type_1,visit_odds_1,home_odds_1,home_odds_2
895779,0.80,ＳＢ,半球,半球,0.96,0.80,0.96
895775,0.80,ＳＢ,半球,半球,0.80,0.96,0.96
895779,0.80,Bet365,半球,半球,0.975,0.825,1.00
895779,,立博, , , , ,
895779,,韦德, , , , ,
895775,0.825,Bet365,半球,半球,0.825,0.975,0.975
895775,,立博, , , , ,
895775,,韦德, , , , ,
895777,0.50,ＳＢ,半球,半球,0.85,0.91,1.35
895779,0.85,易胜,半球,半球,1.00,0.85,1.00
895779,,明陞, , , , ,
895779,,澳彩, , , , ,
895775,0.80,易胜,半球,半球,0.85,1.00,1.05
895775,,明陞, , , , ,
895775,,澳彩, , , , ,
895777,0.55,Bet365,半球,半球,0.875,0.925,1.375
895777,,立博, , , , ,
895777,,韦德, , , , ,
895779,0.80,10BET,半球,半球,0.97,0.80,0.97
895779,0.79,金宝博,半球,半球,0.96,0.80,0.97
895775,0.80,10BET,半球,半球,0.80,0.97,0.97
895775,0.80,金宝博,半球,半球,0.80,0.96,0.96
895775,,12bet/大发, , , , ,
895777,0.50,易胜,半球,半球,0.60,1.25,1.40
895777,,明陞, , , , ,
895777,,澳彩, , , , ,
895779,,12bet/大发, , , , ,
895779,,利记, , , , ,
895779,,永利高, , , , ,
895775,,利记, , , , ,
895775,,永利高, , , , ,
895775,0.80,盈禾,半球,半球,0.80,0.97,0.97
895777,0.54,10BET,半球,半球,0.85,0.90,1.33
895777,0.50,金宝博,半球,半球,0.85,0.91,1.35
895777,,12bet/大发, , , , ,
895779,0.80,盈禾,半球,半球,0.96,0.81,0.97
895777,,利记, , , , ,
895777,,永利高, , , , ,
895777,0.50,盈禾,半球,半球,0.85,0.92,1.36
935703,0.94,ＳＢ,一球,半球/一球,1.01,0.75,0.88
935684,0.95,ＳＢ,受让平手/半球,平手/半球,0.91,0.85,0.87
935702,0.88,ＳＢ,半球/一球,平手/半球,0.78,0.98,0.94
928228,1.11,ＳＢ,平手,平手,0.90,0.92,0.72
935703,1.20,Bet365,半球/一球,半球,0.925,0.875,0.65
935684,,Bet365, , , , ,
935702,1.425,Bet365,平手/半球,平手/半球,1.25,0.625,0.525
928228,0.775,Bet365,平手/半球,平手/半球,0.80,1.00,1.025
935620,0.77,ＳＢ,半球,半球/一球,0.85,1.03,1.14
935703,,立博, , , , ,
935684,,立博, , , , ,
935702,,立博, , , , ,
928228,,立博, , , , ,
935620,0.75,Bet365,半球,半球/一球,0.80,1.00,1.05
915251,,ＳＢ, , , , ,
915253,,ＳＢ, , , , ,
928227,0.89,ＳＢ,平手/半球,平手/半球,1.00,0.82,0.93
935703,,韦德, , , , ,
935684,,韦德, , , , ,
935702,,韦德, , , , ,
928228,,韦德, , , , ,
935620,,立博, , , , ,
915251,,Bet365, , , , ,
915253,,Bet365, , , , ,
915252,,ＳＢ, , , , ,
928227,0.875,Bet365,平手/半球,平手,1.25,0.625,0.925
934492,1.06,ＳＢ,一球/球半,半球/一球,1.01,0.75,0.80
935703,1.20,易胜,半球/一球,半球/一球,1.15,0.80,0.75
935684,0.65,易胜,平手,平手/半球,0.98,0.97,1.30
935702,1.35,易胜,平手/半球,平手/半球,0.90,1.05,0.60
928228,0.78,易胜,平手/半球,平手/半球,0.85,1.10,1.17
935620,,韦德, , , , ,
915251,,立博, , , , ,
915253,,立博, , , , ,
915252,,Bet365, , , , ,
928227,,立博, , , , ,
934492,1.075,Bet365,一球,半球/一球,1.025,0.775,0.725
915255,,ＳＢ, , , , ,
935703,1.21,明陞,半球/一球,半球/一球,1.13,0.72,0.66
935684,0.58,明陞,平手,平手/半球,0.92,0.92,1.35
935702,1.53,明陞,平手/半球,平手/半球,0.93,0.91,0.49
928228,0.85,明陞,平手/半球,平手/半球,0.82,1.02,0.99
935620,0.90,易胜,半球,半球/一球,0.95,1.00,1.05
915251,,韦德, , , , ,
915253,,韦德, , , , ,
915252,,立博, , , , ,
928227,,韦德, , , , ,
934492,,立博, , , , ,
915255,,Bet365, , , , ,
935698,0.94,ＳＢ,受让半球/一球,受让半球,0.85,0.91,0.82
935703,,澳彩, , , , ,
935684,,澳彩, , , , ,
935702,,澳彩, , , , ,
928228,,澳彩, , , , ,
935620,0.82,明陞,半球,半球/一球,0.90,1.02,1.11
915251,,易胜, , , , ,
915253,,易胜, , , , ,
915252,,韦德, , , , ,
928227,1.30,易胜,平手,平手,1.25,0.70,0.65
934492,,韦德, , , , ,
915255,,立博, , , , ,
935698,0.65,Bet365,受让半球,受让半球,0.875,0.925,1.20
915256,,ＳＢ, , , , ,
935703,1.17,10BET,半球/一球,半球/一球,1.13,0.74,0.71
935684,0.59,10BET,平手,平手/半球,0.88,0.88,1.22
935702,1.51,10BET,平手/半球,平手/半球,0.95,0.89,0.52
928228,0.77,10BET,平手/半球,平手/半球,0.77,1.00,1.00
935620,,澳彩, , , , ,
915251,,明陞, , , , ,
915253,,明陞, , , , ,
915252,,易胜, , , , ,
928227,0.90,明陞,平手/半球,平手,1.25,0.64,0.94
934492,,易胜, , , , ,
915255,,韦德, , , , ,
935698,,立博, , , , ,
915256,,Bet365, , , , ,
935703,0.95,金宝博,一球,半球/一球,1.01,0.75,0.89
935684,1.04,金宝博,受让平手/半球,平手/半球,0.91,0.85,0.80
935702,1.01,金宝博,半球/一球,平手/半球,0.78,0.98,0.83
928228,1.19,金宝博,平手,平手,0.94,0.90,0.68
935620,0.80,10BET,半球,半球/一球,0.81,1.00,1.01
915251,,澳彩, , , , ,
915253,,澳彩, , , , ,
915252,,明陞, , , , ,
928227,,澳彩, , , , ,
934492,0.92,明陞,一球/球半,半球/一球,1.17,0.69,0.96
915255,,易胜, , , , ,
935698,0.83,韦德,受让半球/一球,受让半球,0.86,0.92,0.95
915256,,立博, , , , ,
915257,,ＳＢ, , , , ,
935703,1.08,12bet/大发,半球/一球,半球/一球,1.13,0.72,0.76
935684,0.60,12bet/大发,平手,平手/半球,0.92,0.92,1.31
935702,1.53,12bet/大发,平手/半球,平手/半球,0.93,0.91,0.49
928228,0.85,12bet/大发,平手/半球,平手/半球,0.82,1.02,0.99
935620,0.82,金宝博,半球,半球/一球,0.86,1.04,1.11
915251,,10BET, , , , ,
915253,,10BET, , , , ,
915252,,澳彩, , , , ,
928227,0.91,10BET,平手/半球,平手,1.07,0.72,0.84
