match_status,league,home_team,match_id,match_score,match_date,half_score,visit_team
完,阿乙曼特, 普拉騰斯,895775,0-0,13-11-06 08:00,0-0,CA坦波利 
完,阿乙曼特, 瑪倫,895777,3-0,13-11-06 08:00,2-0,阿梅尼奧
完,阿乙曼特,洛斯安第斯,895779,1-0,13-11-06 08:00,0-0,科勒加勒斯 
完,墨西哥杯, ,935620,3-3,13-11-06 11:00,2-1,阿特拿斯 
完,友谊赛, 泰國U23(中),935703,2-0,13-11-06 15:00,1-0,越南U22 
完,韩联盟,慶州水利,935684,2-0,13-11-06 15:00,1-0,昌原
完,中协杯, 貴州人和,934492,2-1,13-11-06 16:00,1-1,大連阿爾濱 
完,友谊赛,柬埔寨U23,935702,2-2,13-11-06 17:00,0-0,老撾U23 
完,印度甲, 莫哈末丹,928228,1-0,13-11-06 17:00,1-0,孟買
完,欧联U19, 聖彼德斯堡U19,935698,1-2,13-11-06 17:00,1-0,波圖U19 
完,印度甲, 丹波SC,928227,1-0,13-11-06 18:00,1-0,丘吉爾兄弟 
完,格鲁乙,第比利斯火車頭,915251,3-4,13-11-06 18:00,0-2,迪拿B隊
完,格鲁乙,科克禾迪,915252,0-2,13-11-06 18:00,0-0,山姆特迪雅
完,格鲁乙,蘇洛利維尼,915253,0-1,13-11-06 18:00,0-0,薩斯科
完,格鲁乙,STU第比利斯,915255,4-1,13-11-06 18:00,2-0,巴克禾馬羅 
完,格鲁乙,薩古拉利,915256,0-0,13-11-06 18:00,0-0,馬特查科禾拉
完,格鲁乙,巴圖米戴拿模,915257,1-0,13-11-06 18:00,0-0,貝勒米
完,立陶杯, 科羅加,933604,1-2,13-11-06 19:00,0-0,薩基列斯
完,乌克U19, 米達雷治U19,935919,4-1,13-11-06 19:00,0-1,基輔戴拿模U19 
完,乌克U19, 禾斯克拉U19,935923,1-1,13-11-06 19:00,0-0,塞瓦斯托波爾U19 
完,欧联U19, 馬德里體育會U19,935699,2-1,13-11-06 19:00,2-1,奧地利維也納U19 
完,乌克U19, 米達列斯U19,935920,2-0,13-11-06 19:15,1-0,迪尼普U19 
完,挪甲,雲希姆,935633,2-0,13-11-06 19:30,1-0,咸卡姆 
完,土杯, 哈錫迪比,934670,3-2,13-11-06 19:30,1-0,科尼亞 
完,土杯, 伊尼高爾士邦,934671,1-0,13-11-06 19:30,0-0,卡森柏沙 
完,乌克U19, 祖奴摩勒斯U19,935918,2-0,13-11-06 19:30,1-0,當尼斯克U19 
完,伊朗超, 柏斯波利斯,884406,0-0,13-11-06 19:45,0-0,胡澤斯坦 
完,挪甲, 賀特,935634,0-2,13-11-06 20:00,0-1,莫達倫 
完,土甲, 卡拉迪尼斯,888924,0-0,13-11-06 20:00,0-0,艾丹拿斯堡 
完,土甲, 巴里科斯士邦,888927,1-2,13-11-06 20:00,1-2,山路法斯堡 
完,罗乙1, 蘇恰瓦迅速,919065,2-2,13-11-06 20:00,1-0,布格勒斯特迅速 
完,罗乙1, 杜那瑞加拉,919066,0-0,13-11-06 20:00,0-0,化奴 
完,罗乙1, 貝爾切尼,919067,1-0,13-11-06 20:00,0-0,普利塔力卡 
完,罗乙1, ,919070,0-1,13-11-06 20:00,0-1,斯洛博齊亞 
完,罗乙1, 塔盧根尼烏尼雷亞,935704,1-0,13-11-06 20:00,0-0,巴雷拉 
